,Stock Name,Symbol
291,Kprmill  ,KPRMILL.NS
292,Awlagribusiness  ,AWL.NS
293,Kpittechnologies  ,KPITTECH.NS
294,Ajantapharma  ,AJANTPHARM.NS
295,3Mindia  ,3MINDIA.NS
296,Lichousingfinance  ,LICHSGFIN.NS
297,Radicokhaitan  ,RADICO.NS
298,Lauruslabs  ,LAURUSLABS.NS
299,Crisilltd  ,CRISIL.NS
300,Mahindramahindrafinancialservices  ,M&MFIN.NS
301,Multicommodityexchangeindia  ,MCX.NS
302,Adityabirlafashionretail  ,ABFRL.NS
303,Nlcindia ,NLCINDIA.NS
304,Gujaratgas ,GUJGASLTD.NS
305,Honeywellautomationindia ,HONAUT.NS
306,Sonablwprecisionforgings  ,SONACOMS.NS
307,Apollotyres  ,APOLLOTYRE.NS
308,Authuminvestmentinfrastructure  ,AIIL.NS
309,Exideindustries  ,EXIDEIND.NS
310,Poonawallafincorp  ,POONAWALLA.BO
311,Metrobrands  ,METROBRAND.NS
312,Nationalaluminiumcompany  ,NATIONALUM.NS
313,Keiindustries  ,KEI.NS
314,Aiaengineering  ,AIAENG.NS
315,Suvenpharmaceuticals  ,SUVENPHAR.NS
316,Thenewindiaassurancecompany  ,NIACL.NS
317,Piramalpharma  ,PPLPHARMA.NS
318,Irbinfrastructuredevelopers  ,IRB.NS
319,Emamiltd  ,EMAMIREAL.NS
320,Pnbhousingfinance  ,PNBHOUSING.NS
321,Indraprasthagas  ,IGL.NS
322,Aegislogistics  ,AEGISLOG.NS
323,Deepaknitrite  ,DEEPAKNTR.NS
324,Krishnainstitutemedicalsciences  ,KIMS.NS
325,Asterdmhealthcare  ,ASTERDM.NS
326,Endurancetechnologies  ,ENDURANCE.NS
327,Godigitgeneralinsurance  ,GODIGIT.BO
328,Sumitomochemicalindia  ,SUMICHEM.NS
329,Bandhanbank  ,BANDHANBNK.NS
330,Gilletteindia  ,GILLETTE.NS
331,Nbccindia  ,NBCC.NS
332,Inventurusknowledgesolutions  ,IKS.NS
333,Polymedicure  ,POLYMED.NS
334,Jyoticncautomation  ,JYOTICNC.NS
335,Syngeneinternational  ,SYNGENE.NS
336,Mothersonsumiwiringindia  ,MSUMI.NS
337,Jbchemicalspharmaceuticals  ,JBCHEPHARM.NS
338,Suntvnetwork  ,SUNTV.NS
339,Brigadeenterprises  ,BRIGADE.NS
340,Shyammetalicsenergy  ,SHYAMMETL.NS
341,Mangalorerefinerypetrochemicals  ,MRPL.NS
342,Pgelectroplast  ,PGEL.NS
343,Firstsourcesolutions  ,FSL.NS
344,Drlalpathlabs  ,LALPATHLAB.NS
345,Glandpharma  ,GLAND.NS
346,Zfcommercialvehiclecontrolsystemsindia  ,ZFCVINDIA.NS
347,Eih Ltd  ,EIHAHOTELS.NS
348,Delhiveryltd ,DELHIVERY.NS
349,Affle3I ,AFFLE.NS
350,Navinfluorineinternational ,NAVINFLUOR.NS
351,Jubilantagriconsumerproducts ,JUBLCPL.NS
352,Theramcocements ,RAMCOCEM.NS
353,Aparindustries ,APARINDS.NS
354,Starhealthalliedinsurancecompany ,STARHEALTH.NS
355,Piramalenterprises ,PEL.NS
356,Nuvamawealthmanagement ,NUVAMA.NS
357,Gardenreachshipbuildersengineers ,GRSE.NS
358,Inoxwind ,IWEL.NS
359,Himadrispecialitychemical ,HSCL.NS
360,Devyaniinternational ,DEVYANI.NS
361,Olaelectricmobility ,OLAELEC.NS
362,Tatachemicals ,TATACHEM.NS
363,Wockhardt ,WOCKPHARMA.NS
364,Adityabirlarealestate ,ABREL.NS
365,Bayercropscience ,BAYERCROP.NS
366,Cescltd ,CESC.NS
367,Amberenterprisesindia ,AMBER.NS
368,Astrazenecapharmaindia ,ASTRAZEN.NS
369,Angelone ,ANGELONE.NS
370,Punjab&Sindbank ,PSB.NS
371,Cromptongreavesconsumerelectricals ,CROMPTON.NS
372,Kansainerolacpaints ,KANSAINER.NS
373,Hindustancopper ,HINDCOPPER.NS
374,Atulltd ,ATUL.NS
375,Fivestarbusinessfinance ,FIVESTAR.NS
376,Erislifesciences ,ERIS.NS
377,Aadharhousingfinance ,AADHARHFC.NS
378,Welspuncorp ,WELCORP.NS
379,Hatsunagroproducts ,HATSUN.NS
380,Timkenindia ,TIMKEN.NS
381,Pfizerltd ,PFIZER.NS
382,Castrolindialtd ,CASTROLIND.NS
383,Manappuramfinance ,MANAPPURAM.NS
384,Redington ,REDINGTON.NS
385,Kfintechnologies ,KFINTECH.NS
386,Ptcindustries   ,PTCIL.NS
387,Sagilityindia   ,SAGILITY.NS
388,Emcurepharmaceuticals   ,EMCURE.NS
389,Carborundumuniversal  ,CARBORUNIV.NS
390,Skfindia  ,SKFINDIA.NS
391,Emcurepharmaceuticals ,EMCURE.NS
392,Sundramfasteners ,SUNDRMFAST.NS
393,Anantraj ,ANANTRAJ.NS
394,Eidparry(India) ,EIDPARRY.NS
395,Ventivehospitality,VENTIVE.NS
396,Deepakfertilisers&Petrochemicalscorporation,DEEPAKFERT.NS
397,Iiflfinance,IIFL.NS
398,Zensartechnologies,ZENSARTECH.NS
399,Afconsinfrastructure,AFCONS.NS
400,Aartiindustries,AARTIIND.NS
401,Jbmauto,JBMA.NS
402,Kiocl,KIOCL.NS
403,Cieautomotiveindia,CIEINDIA.NS
404,Jupiterwagons,JWL.NS
405,Nivabupahealthinsurancecompany,NIVABUPA.NS
406,V-Guardindustries,VGUARD.NS
407,Sardaenergyminerals,SARDAEN.NS
408,Whirlpoolofindia,WHIRLPOOL.NS
409,Bluedartexpress,BLUEDART.NS
410,Centuryplyboards(India),CENTURYPLY.NS
411,Centuryplyboards(India),AKZOINDIA.NS
412,Dcmshriram,DCMSRIND.NS
413,Internationalgemmologicalinstitute(India),IGIL.NS
414,Blsinternationalservices,BLS.NS
415,Caplinpointlaboratories,CAPLIPOINT.NS
416,Eclerxservices,ECLERX.NS
417,Hblengineering,HBLENGINE.NS
418,Concordbiotech,CONCORDBIO.NS
419,Jubilantpharmova,JUBLPHARMA.NS
420,Schneiderelectricinfrastructure,SCHNEIDER.NS
421,Ceat,CEATLTD.NS
422,Bataindia,BATAINDIA.NS
423,Maharashtrascooters,MAHSCOOTER.NS
424,Domsindustries,DOMS.NS
425,Kajariaceramics,KAJARIACER.NS
426,Natcopharma,NATCOPHARM.NS
427,Gravitaindia,GRAVITA.NS
428,Sailifescience,SAILIFE.NS
429,Anandrathiwealth,ANANDRATHI.NS
430,Utiassetmanagementcompany,UTIAMC.NS
431,Trident,TRIDENT.NS
432,Elgiequipments,ELGIEQUIP.NS
433,Pcblchemical,PCBL.NS
434,Intellectdesignarena,INTELLECT.NS
435,Beml,BEML.NS
436,Vardhmantextiles,VTL.NS
437,Actionconstructionequipment,ACE.NS
438,Datapatterns(India),DATAPATTNS.NS
439,Kirloskarbrothers,KIRLOSBROS.NS
440,Eleconengineeringcompany,ELECON.NS
441,Rrkabel,RRKABEL.NS
442,Sanofiindia,SANOFI.NS
443,Acmesolarholdings,ACMESOLAR.NS
444,Finolexcables,FINCABLES.NS
445,Cityunionbank,CUB.NS
446,Cyient,CYIENT.NS
447,Technoelectricengineeringcompany,TECHNOE.NS
448,Indegene,INDGN.NS
449,Neulandlaboratories,NEULANDLAB.NS
450,Aavasfinanciers,AAVAS.NS
451,Godrejagrovet,GODREJAGRO.NS
452,Indiamartintermesh,INDIAMART.NS
453,Fineorganicindustries,FINEORG.NS
454,Ksb,KSB.NS
455,Forcemotors,FORCEMOT.NS
456,Bombayburmahtradingcorporation,BBTC.NS
457,Alivuslifesciences,ALIVUS.NS
458,Rainbowchildrensmedicare,RAINBOW.NS
459,Mahanagargas,MGL.NS
460,Sobha,SOBHA.NS
461,Jindalsaw,JINDALSAW.NS
462,Swanenergy,SWANENERGY.NS
463,Cleansciencetechnology,CLEAN.NS
464,Ifci,IFCI.NS
465,Celloworld,CELLO.NS
466,Supremepetrochem,SPLPETRO.NS
467,Embassydevelopments,EMBDL.NS
468,Capriglobalcapital,CGCL.NS
469,Nava ,NAVA.NS
470,Paradeepphosphates,PARADEEP.NS
471,Rites,RITES.NS
472,Ltfoods,LTFOODS.NS
473,Godawaripowerispat,GPIL.NS
474,Greateasternshippingcompany,GESHIP.NS
475,Inoxwindenergy,IWEL.NS
476,Tejasnetworks,TEJASNET.NS
477,Craftsmanautomation,CRAFTSMAN.NS
478,Tbotek,TBOTEK.NS
479,Nuvocovistascorporation,NUVOCO.NS
480,Rblbank,RBLBANK.NS
481,Kirloskaroilengines,KIRLOSENG.NS
482,Dragarwalshealthcare,AGARWALEYE.NS
483,Ingersollrand(India),INGERRAND.NS
484,Granulesindia,GRANULES.NS
485,Titagarhrailsystems,TITAGARH.NS
486,Zyduswellness,ZYDUSWELL.NS
487,Jyothylabs,JYOTHYLAB.NS
488,Grinfraprojects,GRINFRA.NS
489,Eurekaforbes,EUREKAFORB.NS
490,Homefirstfinancecompanyindia,HOMEFIRST.NS
491,Railtelcorporationofindia,RAILTEL.NS
492,Atherenergy,ATHERENERG.NS
493,Hfcl,HFCL.NS
494,Mindacorporation,MINDACORP.NS
495,Avantifeeds,AVANTIFEED.NS
496,Sanoficonsumerhealthcareindia,SANOFICONR.NS
497,Zeeentertainmententerprises,ZEEL.NS
498,Birlasoft,BSOFT.NS
499,Azadengineering,AZAD.NS
500,Finolexindustries,FINPIPE.NS
501,Tatateleservices(Maharashtra),TTML.NS
502,Gallanttispat,GALLANTT.NS
503,Nmdcsteel,NSLNISP.NS
504,Sbfcfinance,SBFC.NS
505,Gujaratmineraldevelopmentcorporation,GMDCLTD.NS
506,Jammu&Kashmirbank,J&KBANK.NS
507,Jmfinancial,JMFINANCIL.NS
508,Nazaratechnologies,NAZARA.NS
509,Vesuviusindia,VESUVIUS.NS
510,Engineersindia,ENGINERSIN.NS
511,Ramkrishnaforgings,RKFORGE.NS
512,Alliedblenders&Distillers,ABDL.NS
513,Balrampurchinimills,BALRAMCHIN.NS
514,Sonatasoftware,SONATSOFTW.NS
515,Safariindustries(India),SAFARI.NS
516,Shrirampistons&Rings,SHRIPISTON.NS
517,C.E.Infosystems,MAPMYINDIA.NS
518,Jubilantingrevia,JUBLINGREA.NS
519,Lemontreehotels,LEMONTREE.NS
520,Inoxindia,INOXINDIA.NS
521,Cclproductsindia,CCL.NS
522,Medplushealthservices,MEDPLUS.NS
523,Westlifefoodworld,WESTLIFE.NS
524,Prudentcorporateadvisoryservices,PRUDENT.NS
525,Birlacorporation,BIRLACORPN.NS
526,Graphiteindia,GRAPHITE.NS
527,Relaxofootwears,RELAXO.NS
528,Anupamrasayanindia,ANURAS.NS
529,Waareerenewabletechnologies,WAAREERTL.NS
530,Jktyre&Industries,JKTYRE.NS
531,Olectragreentech,OLECTRA.NS
532,Saregamaindia,SAREGAMA.NS
533,Sapphirefoodsindia,SAPPHIRE.NS
534,Astramicrowaveproducts,ASTRAMICRO.NS
535,Chennaipetroleumcorporation,CHENNPETRO.NS
536,Shaktipumps(India),SHAKTIPUMP.NS
537,Jaiprakashpowerventures,JPPOWER.NS
538,Netwebtechnologiesindia,NETWEB.NS
539,Valorestate,DBREALTY.NS
540,Jklakshmicement,JKLAKSHMI.NS
541,Garwarehitechfilms,GRWRHITECH.NS
542,Sammaancapital,SAMMAANCAP.NS
543,Canfinhomes,CANFINHOME.NS
544,Ushamartin,USHAMART.NS
545,Indiacements,INDIACEM.NS
546,Genuspowerinfrastructures,GENUSPOWER.NS
547,Aetherindustries,AETHER.NS
548,Acutaaschemicals,AMIORG.NS
549,Jaibalajiindustries,JAIBALAJI.NS
550,Tegaindustries,TEGA.NS
551,Vijayadiagnosticcentre,VIJAYA.NS
552,Gabrielindia,GABRIEL.NS
553,Heg,HEG.NS
554,Rhimagnesitaindia,RHIM.NS
